Type,Institution,City,State,Postcode,Title,YearAwarded
Institute,Agnes Scott College,Decatur,GA,30030-3797,Shakespeare and Digital Storytelling,2019
Institute,American Antiquarian Society,Worcester,MA,01609-1634,"The News Media and the Making of America, 1730-1800","2014, 2019"
Institute,American Center for Mongolian Studies,Philadelphia,PA,19104-6305,Enduring Legacies of the Global Mongol Empire,2017
Institute,American Civil War Museum Foundation,Richmond,VA,23219-4328,Emancipation and Evolving American Identity,2019
Institute,Andrews University,Berrien Springs,MI,49104-0001,Daily Life in Ancient Times,2008
Landmarks Workshop,Appalachian State University,Boone,NC,28608-0001,Not Just a Scenic Road: The Blue Ridge Parkway and its History,"2007, 2009"
Landmarks Workshop,Apprend Foundation,Durham,NC,27713-2219,Crafting Freedom: African-American Entrepreneurs in the Antebellum South,"2004, 2006, 2005, 2010, 2011, 2012, 2014, 2016"
Landmarks Workshop,Architecture Resource Center,New Haven,CT,06511-4701,"Encompassing Amistad: The African American Struggle for Citizenship, 1770-1850",2008
Institute,Area Cooperative Educational Services (ACES),North Haven,CT,06473-3108,The Long Civil Rights Movement,2017
Institute,Ashland University,Ashland,OH,44805-3799,Churchill and America,2005
Landmarks Workshop,Association for Core Texts and Courses,Moraga,CA,94575-2715,Renewing Cherokee Culture and American History Through the Cherokee Heritage Center and the Trail of Tears,2005
Landmarks Workshop,Bill of Rights Institute,Arlington,VA,22203,"Shaping the Constitution: A View From Mount Vernon, 1783-1789","2004, 2005, 2006, 2007, 2008"
Landmarks Workshop,Birmingham Civil Rights Institute,Birmingham,AL,35203-1911,But for Birmingham: The Rise of the Magic City and the Evolution of the Civil Rights Movement,2012
Landmarks Workshop,Birmingham Civil Rights Institute & Alabama Humanities Foundation,Birmingham,AL,35203-1911,Stony the Road We Trod: Alabama's Role in the Modern Civil Rights Movement,"2004, 2005, 2006, 2008, 2009, 2015, 2017, 2018"
Institute,Boston University,Boston,MA,02215-1300,"Revisiting Rushmore: Myths, Symbols and Reality: George Washington and His Legacy",2004
Institute,Boston University,Boston,MA,02215-1300,"George Washington and His Legacy: Myths, Symbols and Reality",2008
Landmarks Workshop,Boston University,Boston,MA,02215-1300,African Americans in Massachusetts: From Slavery to Today,2010
Seminar,Boston University,Boston,MA,02215-1300,What We Teach and Why: Philosophers of Education from the Enlightenment to the Present,2019
Institute,Boston University,Boston,MA,02215-1300,"Thomas Jefferson: Personality, Character and Public Life","2005, 2007, 2012"
Seminar,Boston University,Boston,MA,02215-1300,Philosophers of Education: Major Thinkers from the Enlightenment to the Postmodern Era,"2013, 2015, 2016"
Seminar,Bowdoin College,Brunswick,ME,04011-8447,Teaching the Holocaust through Visual Culture,2018
Seminar,"Brigham Young University, Provo",Provo,UT,84602,Art and Literature in the Prado Museum (in Spanish),2005
Seminar,"Brigham Young University, Provo",Provo,UT,84602,Authors in the Prado,"2007, 2010, 2014"
Institute,Brooklyn Historical Society,Brooklyn,NY,11201-2711,"Freedom for One, Freedom for All? Abolition and Woman Suffrage, 1830s–1920s","2015, 2017"
Seminar,"California State University, Bakersfield",Bakersfield,CA,93311-1022,The Irish Sea Cultural Province: Crossroads of Medieval Literature and Languages,2012
Seminar,"California State University, Bakersfield",Bakersfield,CA,93311-1022,The Isle of Man: Crossroads of Medieval Cultures and Languages,"2005, 2008"
Institute,"California State University, Channel Islands",Camarillo,CA,93012-8599,"John Steinbeck: Voice of a Region, Voice for America","2006, 2008, 2010, 2012"
Landmarks Workshop,"California State University, Dominguez Hills Foundation",Carson,CA,90747-0001,"American History through the Eyes of a California Family, 1780s—1920s",2010
Landmarks Workshop,"California State University, Long Beach Foundation",Long Beach,CA,90840-0004,The Cold War Home Front in Southern California,"2013, 2015"
Landmarks Workshop,"California State University, Monterey Bay",Seaside,CA,93955-8000,"The Fourteenth Colony: Native Californians, Missions, Presidios, and Colonists on the Spanish Frontier, 1769-1848",2012
Landmarks Workshop,"California State University, Northridge",Northridge,CA,91330-0001,"The Spanish and Mexican Influences on California, 1769-1884",2010
Landmarks Workshop,"California State University, Sacramento",Sacramento,CA,95819-2694,The California Gold Rush: Context and History,2013
Institute,Calvin College,Grand Rapids,MI,49546-4388,Making Sense of the Reformation,2008
Institute,Calvin College,Grand Rapids,MI,49546-4388,American Frontiers in Global Perspective,2011
Landmarks Workshop,Canal Corridor Association - Gaylord Building Historic Site,Lockport,IL,60441-2878,The Last Great American Canal: How the Illinois and Michigan Canal United 19th Century America,"2004, 2005"
Seminar,Carroll College,Helena,MT,59625-0001,Re-Enchanting Nature: Humanities Perspectives,"2016, 2018"
Institute,Center for Civic Education,Calabasas,CA,91302-1441,Political and Constitutional Theory for Citizens,"2005, 2006, 2007, 2008, 2009, 2012, 2014, 2016"
Seminar,Central Michigan University,Mount Pleasant,MI,48859-0001,"Writing Africa: Comparative African and Western ""Palavers"" and Perspectives",2006
Landmarks Workshop,Chicago Architecture Foundation,Chicago,IL,60604-2505,The American Skyscraper: Transforming Chicago and the Nation,"2008, 2009, 2011, 2012, 2013, 2016, 2019"
Landmarks Workshop,Chicago Metro History Education Center,Chicago,IL,60610-3305,"Renaissance in the Black Metropolis: Chicago, 1930s-1950s",2011
Institute,Chicago Metro History Education Center,Chicago,IL,60610-3305,Rethinking the Gilded Age and Progressive Era,"2012, 2014, 2015, 2016, 2018"
Institute,"China Institute in America, Inc.",New York,NY,10065-7006,China and the Islamic World,2004
Institute,"China Institute in America, Inc.",New York,NY,10065-7006,Living and Being 'Chinese': Geographic and Ethnic Diversity in China,2006
Institute,"China Institute in America, Inc.",New York,NY,10065-7006,From Chang'an to Xi'an: Ancient Capital to Modern Metropolis,2008
Institute,Churchill Centre,Washington,DC,20036-4603,Winston Churchill and the Anglo-American Relationship,"2007, 2009"
Institute,"City Lore, Inc.",New York,NY,10003-9345,A Reverence for Words: Understanding Muslim Cultures through the Arts,"2013, 2015, 2017"
Landmarks Workshop,City of Holyoke,Holyoke,MA,01040-3904,Women Making Change: Activism and Progressivism at the Turn of the Twentieth Century,2015
Landmarks Workshop,Claremont Graduate University,Claremont,CA,91711-5909,The U.S. Constitution and the Art and Architecture of the Capitol,2006
Seminar,Claremont Graduate University,Claremont,CA,91711-5909,The President vs. Congress: Constitutional Principles and Practices That Have Shaped Our Understanding of the War Powers,2007
Seminar,Claremont Graduate University,Claremont,CA,91711-5909,An Inquiry into the Constitutional Principles and Practices That Have Shaped Our Understanding of the War Powers,2008
Landmarks Workshop,Claremont Graduate University,Claremont,CA,91711-5909,A Vast and Many Voiced Creation: Congress and the Capitol,"2005, 2006"
Institute,Colgate University,Hamilton,NY,13346-1386,Abolitionism and the Underground Railroad,"2007, 2009, 2010, 2012, 2014, 2015, 2018"
Landmarks Workshop,Collaborative for Educational Services,Northampton,MA,01060-3947,Forge of Innovation: The Springfield Armory and the Genesis of American Industry,2014
Landmarks Workshop,Collaborative for Educational Services,Northampton,MA,01060-3947,The Springfield Armory and the Genesis of American Industry,2018
Institute,College of the Holy Cross,Worcester,MA,01610-2395,Cultures and Religions of the Himalayan Region,2005
Institute,College of the Holy Cross,Worcester,MA,01610-2395,"Literatures, Religions, and Arts of the Himalayan Region","2007, 2010, 2014"
Seminar,College of William and Mary,Williamsburg,VA,23186-0002,The Principle of Separation of Church and State,2005
Landmarks Workshop,Community College Humanities Association,Baltimore,MD,21237-3899,Remembering the Alamo: Landmarks of American History and Culture,2008
Landmarks Workshop,Concord Antiquarian Society,Concord,MA,01742-3701,Living and Writing Deliberately: The Concord Landscapes and Legacy of Henry Thoreau,2016
Landmarks Workshop,Concord Antiquarian Society,Concord,MA,01742-3701,The Concord Landscapes and Legacy of Henry Thoreau,2019
Seminar,Connecticut College,New London,CT,06320-4150,Introducing James Joyce,2005
Landmarks Workshop,Converse College,Spartanburg,SC,29302-0006,Partisans and Redcoats: The American Revolution in the Southern Backcountry,"2006, 2008"
Landmarks Workshop,Council for Basic Education,Washington,DC,20005-2109,A Vast and Many Voiced Creation: Congress and the Capitol,2004
Institute,"Crow Canyon Archaeological Center, Inc.",Cortez,CO,81321-9408,Seeking the Center Place: Cultural Continuity and Change in the Pueblo World,2004
Institute,"Crow Canyon Archaeological Center, Inc.",Cortez,CO,81321-9408,Peoples of the Mesa Verde Region: Connecting the Past with the Present through Humanities Research,2009
Landmarks Workshop,"Crow Canyon Archaeological Center, Inc.",Cortez,CO,81321-9408,Seeking the Center Place: The Mesa Verde Cultural Landscape and Pueblo Indian Homeland,2009
Institute,"Crow Canyon Archaeological Center, Inc.",Cortez,CO,81321-9408,Diversity and Unity in the Pueblo World,2011
Landmarks Workshop,"Crow Canyon Archaeological Center, Inc.",Cortez,CO,81321-9408,Mesa Verde National Park: Pueblo Culture in the American Southwest,2013
Landmarks Workshop,"Crow Canyon Archaeological Center, Inc.",Cortez,CO,81321-9408,Mesa Verde National Park and the Construction of Pueblo Indian History,2015
Institute,"Crow Canyon Archaeological Center, Inc.",Cortez,CO,81321-9408,Continuity and Change in the Pueblo World from Mesa Verde to Santa Fe,2018
Landmarks Workshop,"Crow Canyon Archaeological Center, Inc.",Cortez,CO,81321-9408,Mesa Verde National Park and Pueblo Indian History,2019
Institute,"Crow Canyon Archaeological Center, Inc.",Cortez,CO,81321-9408,Bridging Cultures: Diversity and Unity in the Pueblo World,"2010, 2012"
Institute,"Crow Canyon Archaeological Center, Inc.",Cortez,CO,81321-9408,From Mesa Verde to Santa Fe: Pueblo Identity in the Southwest,"2014, 2016"
Institute,"CUNY Research Foundation, Hunter College",New York,NY,10065-5024,Latino Identity in New York,2010
Seminar,"CUNY Research Foundation, Hunter College",New York,NY,10065-5024,Asian Americans in New York City: Literature and Film,2014
Landmarks Workshop,Delta State University,Cleveland,MS,38733-0001,"The Most Southern Place on Earth: Music, Culture, and History in the Mississippi Delta","2008, 2009, 2011, 2012, 2014, 2014, 2015, 2016, 2017, 2018"
Seminar,DePaul University,Chicago,IL,60604-2287,Saying Something Wonderful: Teaching the Pleasures of Poetry,2004
Seminar,DePaul University,Chicago,IL,60604-2287,Say Something Wonderful: Teaching the Pleasures of Poetry,"2006, 2008"
Seminar,Dickinson College,Carlisle,PA,17013-2896,Citizenship and Culture: French Identity in Crisis,"2004, 2007"
Landmarks Workshop,Dickinson College,Carlisle,PA,17013-2896,Landmarks of the Underground Railroad: From Christiana to Harpers Ferry,"2006, 2007"
Landmarks Workshop,Drury University,Springfield,MO,65802-3791,Wilson's Creek: Understanding the Civil War's Second Major Battle,2009
Institute,Duke University,Durham,NC,27705-4677,African-American Literature and Social History,2012
Seminar,Duke University,Durham,NC,27705-4677,Petrarch and Provence: Between Seclusion and the World,"2005, 2007"
Institute,Duke University,Durham,NC,27705-4677,The Civil Rights Movement: Grass Roots Perspectives,"2017, 2019"
Seminar,Duquesne University,Pittsburgh,PA,15282-0001,Paradise Lost and the Contemporary Reader,2005
Landmarks Workshop,East Carolina University,Greenville,NC,27858-5235,Saipan's Land and Sea: Battle Scars and Sites of Resilience,2019
Landmarks Workshop,East-West Center,Honolulu,HI,96848-1601,"Pearl Harbor: History, Memory, Memorial","2004, 2006, 2007, 2008, 2010"
